URL,TTL,Message
ru.wikiquote.org,11,"HTTP/1.1 400 
Date: Thu, 23 Jan 2020 01:16:20 GMT
Server: Varnish
X-Varnish: 607763875
X-Cache: cp3050 int
X-Cache-Status: int-front
Server-Timing: cache;desc=""int-front""
Set-Cookie: WMF-Last-Access=23-Jan-2020;Path=/;HttpOnly;secure;Expires=Mon, 24 Feb 2020 00:00:00 GMT
Set-Cookie: WMF-Last-Access-Global=23-Jan-2020;Path=/;Domain=.invalid;HttpOnly;secure;Expires=Mon, 24 Feb 2020 00:00:00 GMT
X-Client-IP: 176.107.176.62
Content-Type: text/html; charset=utf-8
Content-Length: 1807
Connection: keep-alive

<!DOCTYPE html>
<html lang=""en"">
<meta charset=""utf-8"">
<title>Wikimedia Error</title>
<style>
* { margin: 0; padding: 0; }
body { background: #fff; font: 15px/1.6 sans-serif; color: #333; }
.content { margin: 7% auto 0; padding: 2em 1em 1em; max-width: 640px; }
.footer { clear: both; margin-top: 14%; border-top: 1px solid #e5e5e5; background: #f9f9f9; padding: 2em 0; font-size: 0.8em; text-align: center; }
img { float: left; margin: 0 2em 2em 0; }
a img { border: 0; }
h1 { margin-top: 1em; font-size: 1.2em; }
.content-text { overflow: hidden; overflow-wrap: break-word; word-wrap: break-word; -webkit-hyphens: auto; -moz-hyphens: auto; -ms-hyphens: auto; hyphens: auto; }
p { margin: 0.7em 0 1em 0; }
a { color: #0645ad; text-decoration: none; }
a:hover { text-decoration: underline; }
code { font-family: sans-serif; }
.text-muted { color: #777; }
</style>
<div class=""content"" role=""main"">
<a href=""https://www.wikimedia.org""><img src=""https://www.wikimedia.org/static/images/wmf-logo.png"" srcset=""https://www.wikimedia.org/static/images/wmf-logo-2x.png 2x"" alt=""Wikimedia"" width=""135"" height=""101"">
</a>
<h1>Error</h1>
<div class=""content-text"">
<p>Our servers are currently under maintenance or experiencing a technical problem.

Please <a href="""" title=""Reload this page"" onclick=""window.location.reload(false); return false"">try again</a> in a few&nbsp;minutes.</p>

<p>See the error message at the bottom of this page for more&nbsp;information.</p>
</div>
</div>
<div class=""footer""><p>If you report this error to the Wikimedia System Administrators, please include the details below.</p><p class=""text-muted""><code>Request from 176.107.176.62 via cp3050 frontend, Varnish XID 607763875<br>Upstream caches: cp3050 int<br>Error: 400,  at Thu, 23 Jan 2020 01:16:20 GMT</code></p>
</div>
</html>
"
ru.wikiquote.org,12,"HTTP/1.1 400 
Date: Thu, 23 Jan 2020 01:16:20 GMT
Server: Varnish
X-Varnish: 604100934
X-Cache: cp3050 int
X-Cache-Status: int-front
Server-Timing: cache;desc=""int-front""
Set-Cookie: WMF-Last-Access=23-Jan-2020;Path=/;HttpOnly;secure;Expires=Mon, 24 Feb 2020 00:00:00 GMT
Set-Cookie: WMF-Last-Access-Global=23-Jan-2020;Path=/;Domain=.invalid;HttpOnly;secure;Expires=Mon, 24 Feb 2020 00:00:00 GMT
X-Client-IP: 176.107.176.62
Content-Type: text/html; charset=utf-8
Content-Length: 1807
Connection: keep-alive

<!DOCTYPE html>
<html lang=""en"">
<meta charset=""utf-8"">
<title>Wikimedia Error</title>
<style>
* { margin: 0; padding: 0; }
body { background: #fff; font: 15px/1.6 sans-serif; color: #333; }
.content { margin: 7% auto 0; padding: 2em 1em 1em; max-width: 640px; }
.footer { clear: both; margin-top: 14%; border-top: 1px solid #e5e5e5; background: #f9f9f9; padding: 2em 0; font-size: 0.8em; text-align: center; }
img { float: left; margin: 0 2em 2em 0; }
a img { border: 0; }
h1 { margin-top: 1em; font-size: 1.2em; }
.content-text { overflow: hidden; overflow-wrap: break-word; word-wrap: break-word; -webkit-hyphens: auto; -moz-hyphens: auto; -ms-hyphens: auto; hyphens: auto; }
p { margin: 0.7em 0 1em 0; }
a { color: #0645ad; text-decoration: none; }
a:hover { text-decoration: underline; }
code { font-family: sans-serif; }
.text-muted { color: #777; }
</style>
<div class=""content"" role=""main"">
<a href=""https://www.wikimedia.org""><img src=""https://www.wikimedia.org/static/images/wmf-logo.png"" srcset=""https://www.wikimedia.org/static/images/wmf-logo-2x.png 2x"" alt=""Wikimedia"" width=""135"" height=""101"">
</a>
<h1>Error</h1>
<div class=""content-text"">
<p>Our servers are currently under maintenance or experiencing a technical problem.

Please <a href="""" title=""Reload this page"" onclick=""window.location.reload(false); return false"">try again</a> in a few&nbsp;minutes.</p>

<p>See the error message at the bottom of this page for more&nbsp;information.</p>
</div>
</div>
<div class=""footer""><p>If you report this error to the Wikimedia System Administrators, please include the details below.</p><p class=""text-muted""><code>Request from 176.107.176.62 via cp3050 frontend, Varnish XID 604100934<br>Upstream caches: cp3050 int<br>Error: 400,  at Thu, 23 Jan 2020 01:16:20 GMT</code></p>
</div>
</html>
"
ru.wikiquote.org,13,"HTTP/1.1 400 
Date: Thu, 23 Jan 2020 01:16:20 GMT
Server: Varnish
X-Varnish: 615061862
X-Cache: cp3050 int
X-Cache-Status: int-front
Server-Timing: cache;desc=""int-front""
Set-Cookie: WMF-Last-Access=23-Jan-2020;Path=/;HttpOnly;secure;Expires=Mon, 24 Feb 2020 00:00:00 GMT
Set-Cookie: WMF-Last-Access-Global=23-Jan-2020;Path=/;Domain=.invalid;HttpOnly;secure;Expires=Mon, 24 Feb 2020 00:00:00 GMT
X-Client-IP: 176.107.176.62
Content-Type: text/html; charset=utf-8
Content-Length: 1807
Connection: keep-alive

<!DOCTYPE html>
<html lang=""en"">
<meta charset=""utf-8"">
<title>Wikimedia Error</title>
<style>
* { margin: 0; padding: 0; }
body { background: #fff; font: 15px/1.6 sans-serif; color: #333; }
.content { margin: 7% auto 0; padding: 2em 1em 1em; max-width: 640px; }
.footer { clear: both; margin-top: 14%; border-top: 1px solid #e5e5e5; background: #f9f9f9; padding: 2em 0; font-size: 0.8em; text-align: center; }
img { float: left; margin: 0 2em 2em 0; }
a img { border: 0; }
h1 { margin-top: 1em; font-size: 1.2em; }
.content-text { overflow: hidden; overflow-wrap: break-word; word-wrap: break-word; -webkit-hyphens: auto; -moz-hyphens: auto; -ms-hyphens: auto; hyphens: auto; }
p { margin: 0.7em 0 1em 0; }
a { color: #0645ad; text-decoration: none; }
a:hover { text-decoration: underline; }
code { font-family: sans-serif; }
.text-muted { color: #777; }
</style>
<div class=""content"" role=""main"">
<a href=""https://www.wikimedia.org""><img src=""https://www.wikimedia.org/static/images/wmf-logo.png"" srcset=""https://www.wikimedia.org/static/images/wmf-logo-2x.png 2x"" alt=""Wikimedia"" width=""135"" height=""101"">
</a>
<h1>Error</h1>
<div class=""content-text"">
<p>Our servers are currently under maintenance or experiencing a technical problem.

Please <a href="""" title=""Reload this page"" onclick=""window.location.reload(false); return false"">try again</a> in a few&nbsp;minutes.</p>

<p>See the error message at the bottom of this page for more&nbsp;information.</p>
</div>
</div>
<div class=""footer""><p>If you report this error to the Wikimedia System Administrators, please include the details below.</p><p class=""text-muted""><code>Request from 176.107.176.62 via cp3050 frontend, Varnish XID 615061862<br>Upstream caches: cp3050 int<br>Error: 400,  at Thu, 23 Jan 2020 01:16:20 GMT</code></p>
</div>
</html>
"
ru.wikiquote.org,14,"HTTP/1.1 400 
Date: Thu, 23 Jan 2020 01:16:20 GMT
Server: Varnish
X-Varnish: 612585234
X-Cache: cp3050 int
X-Cache-Status: int-front
Server-Timing: cache;desc=""int-front""
Set-Cookie: WMF-Last-Access=23-Jan-2020;Path=/;HttpOnly;secure;Expires=Mon, 24 Feb 2020 00:00:00 GMT
Set-Cookie: WMF-Last-Access-Global=23-Jan-2020;Path=/;Domain=.invalid;HttpOnly;secure;Expires=Mon, 24 Feb 2020 00:00:00 GMT
X-Client-IP: 176.107.176.62
Content-Type: text/html; charset=utf-8
Content-Length: 1807
Connection: keep-alive

<!DOCTYPE html>
<html lang=""en"">
<meta charset=""utf-8"">
<title>Wikimedia Error</title>
<style>
* { margin: 0; padding: 0; }
body { background: #fff; font: 15px/1.6 sans-serif; color: #333; }
.content { margin: 7% auto 0; padding: 2em 1em 1em; max-width: 640px; }
.footer { clear: both; margin-top: 14%; border-top: 1px solid #e5e5e5; background: #f9f9f9; padding: 2em 0; font-size: 0.8em; text-align: center; }
img { float: left; margin: 0 2em 2em 0; }
a img { border: 0; }
h1 { margin-top: 1em; font-size: 1.2em; }
.content-text { overflow: hidden; overflow-wrap: break-word; word-wrap: break-word; -webkit-hyphens: auto; -moz-hyphens: auto; -ms-hyphens: auto; hyphens: auto; }
p { margin: 0.7em 0 1em 0; }
a { color: #0645ad; text-decoration: none; }
a:hover { text-decoration: underline; }
code { font-family: sans-serif; }
.text-muted { color: #777; }
</style>
<div class=""content"" role=""main"">
<a href=""https://www.wikimedia.org""><img src=""https://www.wikimedia.org/static/images/wmf-logo.png"" srcset=""https://www.wikimedia.org/static/images/wmf-logo-2x.png 2x"" alt=""Wikimedia"" width=""135"" height=""101"">
</a>
<h1>Error</h1>
<div class=""content-text"">
<p>Our servers are currently under maintenance or experiencing a technical problem.

Please <a href="""" title=""Reload this page"" onclick=""window.location.reload(false); return false"">try again</a> in a few&nbsp;minutes.</p>

<p>See the error message at the bottom of this page for more&nbsp;information.</p>
</div>
</div>
<div class=""footer""><p>If you report this error to the Wikimedia System Administrators, please include the details below.</p><p class=""text-muted""><code>Request from 176.107.176.62 via cp3050 frontend, Varnish XID 612585234<br>Upstream caches: cp3050 int<br>Error: 400,  at Thu, 23 Jan 2020 01:16:20 GMT</code></p>
</div>
</html>
"
ru.wikiquote.org,15,"HTTP/1.1 400 
Date: Thu, 23 Jan 2020 01:16:20 GMT
Server: Varnish
X-Varnish: 617257801
X-Cache: cp3050 int
X-Cache-Status: int-front
Server-Timing: cache;desc=""int-front""
Set-Cookie: WMF-Last-Access=23-Jan-2020;Path=/;HttpOnly;secure;Expires=Mon, 24 Feb 2020 00:00:00 GMT
Set-Cookie: WMF-Last-Access-Global=23-Jan-2020;Path=/;Domain=.invalid;HttpOnly;secure;Expires=Mon, 24 Feb 2020 00:00:00 GMT
X-Client-IP: 176.107.176.62
Content-Type: text/html; charset=utf-8
Content-Length: 1807
Connection: keep-alive

<!DOCTYPE html>
<html lang=""en"">
<meta charset=""utf-8"">
<title>Wikimedia Error</title>
<style>
* { margin: 0; padding: 0; }
body { background: #fff; font: 15px/1.6 sans-serif; color: #333; }
.content { margin: 7% auto 0; padding: 2em 1em 1em; max-width: 640px; }
.footer { clear: both; margin-top: 14%; border-top: 1px solid #e5e5e5; background: #f9f9f9; padding: 2em 0; font-size: 0.8em; text-align: center; }
img { float: left; margin: 0 2em 2em 0; }
a img { border: 0; }
h1 { margin-top: 1em; font-size: 1.2em; }
.content-text { overflow: hidden; overflow-wrap: break-word; word-wrap: break-word; -webkit-hyphens: auto; -moz-hyphens: auto; -ms-hyphens: auto; hyphens: auto; }
p { margin: 0.7em 0 1em 0; }
a { color: #0645ad; text-decoration: none; }
a:hover { text-decoration: underline; }
code { font-family: sans-serif; }
.text-muted { color: #777; }
</style>
<div class=""content"" role=""main"">
<a href=""https://www.wikimedia.org""><img src=""https://www.wikimedia.org/static/images/wmf-logo.png"" srcset=""https://www.wikimedia.org/static/images/wmf-logo-2x.png 2x"" alt=""Wikimedia"" width=""135"" height=""101"">
</a>
<h1>Error</h1>
<div class=""content-text"">
<p>Our servers are currently under maintenance or experiencing a technical problem.

Please <a href="""" title=""Reload this page"" onclick=""window.location.reload(false); return false"">try again</a> in a few&nbsp;minutes.</p>

<p>See the error message at the bottom of this page for more&nbsp;information.</p>
</div>
</div>
<div class=""footer""><p>If you report this error to the Wikimedia System Administrators, please include the details below.</p><p class=""text-muted""><code>Request from 176.107.176.62 via cp3050 frontend, Varnish XID 617257801<br>Upstream caches: cp3050 int<br>Error: 400,  at Thu, 23 Jan 2020 01:16:20 GMT</code></p>
</div>
</html>
"
ru.wikiquote.org,16,"HTTP/1.1 400 
Date: Thu, 23 Jan 2020 01:16:21 GMT
Server: Varnish
X-Varnish: 614973779
X-Cache: cp3050 int
X-Cache-Status: int-front
Server-Timing: cache;desc=""int-front""
Set-Cookie: WMF-Last-Access=23-Jan-2020;Path=/;HttpOnly;secure;Expires=Mon, 24 Feb 2020 00:00:00 GMT
Set-Cookie: WMF-Last-Access-Global=23-Jan-2020;Path=/;Domain=.invalid;HttpOnly;secure;Expires=Mon, 24 Feb 2020 00:00:00 GMT
X-Client-IP: 176.107.176.62
Content-Type: text/html; charset=utf-8
Content-Length: 1807
Connection: keep-alive

<!DOCTYPE html>
<html lang=""en"">
<meta charset=""utf-8"">
<title>Wikimedia Error</title>
<style>
* { margin: 0; padding: 0; }
body { background: #fff; font: 15px/1.6 sans-serif; color: #333; }
.content { margin: 7% auto 0; padding: 2em 1em 1em; max-width: 640px; }
.footer { clear: both; margin-top: 14%; border-top: 1px solid #e5e5e5; background: #f9f9f9; padding: 2em 0; font-size: 0.8em; text-align: center; }
img { float: left; margin: 0 2em 2em 0; }
a img { border: 0; }
h1 { margin-top: 1em; font-size: 1.2em; }
.content-text { overflow: hidden; overflow-wrap: break-word; word-wrap: break-word; -webkit-hyphens: auto; -moz-hyphens: auto; -ms-hyphens: auto; hyphens: auto; }
p { margin: 0.7em 0 1em 0; }
a { color: #0645ad; text-decoration: none; }
a:hover { text-decoration: underline; }
code { font-family: sans-serif; }
.text-muted { color: #777; }
</style>
<div class=""content"" role=""main"">
<a href=""https://www.wikimedia.org""><img src=""https://www.wikimedia.org/static/images/wmf-logo.png"" srcset=""https://www.wikimedia.org/static/images/wmf-logo-2x.png 2x"" alt=""Wikimedia"" width=""135"" height=""101"">
</a>
<h1>Error</h1>
<div class=""content-text"">
<p>Our servers are currently under maintenance or experiencing a technical problem.

Please <a href="""" title=""Reload this page"" onclick=""window.location.reload(false); return false"">try again</a> in a few&nbsp;minutes.</p>

<p>See the error message at the bottom of this page for more&nbsp;information.</p>
</div>
</div>
<div class=""footer""><p>If you report this error to the Wikimedia System Administrators, please include the details below.</p><p class=""text-muted""><code>Request from 176.107.176.62 via cp3050 frontend, Varnish XID 614973779<br>Upstream caches: cp3050 int<br>Error: 400,  at Thu, 23 Jan 2020 01:16:21 GMT</code></p>
</div>
</html>
"
ru.wikiquote.org,17,"HTTP/1.1 400 
Date: Thu, 23 Jan 2020 01:16:21 GMT
Server: Varnish
X-Varnish: 611794071
X-Cache: cp3050 int
X-Cache-Status: int-front
Server-Timing: cache;desc=""int-front""
Set-Cookie: WMF-Last-Access=23-Jan-2020;Path=/;HttpOnly;secure;Expires=Mon, 24 Feb 2020 00:00:00 GMT
Set-Cookie: WMF-Last-Access-Global=23-Jan-2020;Path=/;Domain=.invalid;HttpOnly;secure;Expires=Mon, 24 Feb 2020 00:00:00 GMT
X-Client-IP: 176.107.176.62
Content-Type: text/html; charset=utf-8
Content-Length: 1807
Connection: keep-alive

<!DOCTYPE html>
<html lang=""en"">
<meta charset=""utf-8"">
<title>Wikimedia Error</title>
<style>
* { margin: 0; padding: 0; }
body { background: #fff; font: 15px/1.6 sans-serif; color: #333; }
.content { margin: 7% auto 0; padding: 2em 1em 1em; max-width: 640px; }
.footer { clear: both; margin-top: 14%; border-top: 1px solid #e5e5e5; background: #f9f9f9; padding: 2em 0; font-size: 0.8em; text-align: center; }
img { float: left; margin: 0 2em 2em 0; }
a img { border: 0; }
h1 { margin-top: 1em; font-size: 1.2em; }
.content-text { overflow: hidden; overflow-wrap: break-word; word-wrap: break-word; -webkit-hyphens: auto; -moz-hyphens: auto; -ms-hyphens: auto; hyphens: auto; }
p { margin: 0.7em 0 1em 0; }
a { color: #0645ad; text-decoration: none; }
a:hover { text-decoration: underline; }
code { font-family: sans-serif; }
.text-muted { color: #777; }
</style>
<div class=""content"" role=""main"">
<a href=""https://www.wikimedia.org""><img src=""https://www.wikimedia.org/static/images/wmf-logo.png"" srcset=""https://www.wikimedia.org/static/images/wmf-logo-2x.png 2x"" alt=""Wikimedia"" width=""135"" height=""101"">
</a>
<h1>Error</h1>
<div class=""content-text"">
<p>Our servers are currently under maintenance or experiencing a technical problem.

Please <a href="""" title=""Reload this page"" onclick=""window.location.reload(false); return false"">try again</a> in a few&nbsp;minutes.</p>

<p>See the error message at the bottom of this page for more&nbsp;information.</p>
</div>
</div>
<div class=""footer""><p>If you report this error to the Wikimedia System Administrators, please include the details below.</p><p class=""text-muted""><code>Request from 176.107.176.62 via cp3050 frontend, Varnish XID 611794071<br>Upstream caches: cp3050 int<br>Error: 400,  at Thu, 23 Jan 2020 01:16:21 GMT</code></p>
</div>
</html>
"
ru.wikiquote.org,18,"HTTP/1.1 400 
Date: Thu, 23 Jan 2020 01:16:21 GMT
Server: Varnish
X-Varnish: 601284541
X-Cache: cp3050 int
X-Cache-Status: int-front
Server-Timing: cache;desc=""int-front""
Set-Cookie: WMF-Last-Access=23-Jan-2020;Path=/;HttpOnly;secure;Expires=Mon, 24 Feb 2020 00:00:00 GMT
Set-Cookie: WMF-Last-Access-Global=23-Jan-2020;Path=/;Domain=.invalid;HttpOnly;secure;Expires=Mon, 24 Feb 2020 00:00:00 GMT
X-Client-IP: 176.107.176.62
Content-Type: text/html; charset=utf-8
Content-Length: 1807
Connection: keep-alive

<!DOCTYPE html>
<html lang=""en"">
<meta charset=""utf-8"">
<title>Wikimedia Error</title>
<style>
* { margin: 0; padding: 0; }
body { background: #fff; font: 15px/1.6 sans-serif; color: #333; }
.content { margin: 7% auto 0; padding: 2em 1em 1em; max-width: 640px; }
.footer { clear: both; margin-top: 14%; border-top: 1px solid #e5e5e5; background: #f9f9f9; padding: 2em 0; font-size: 0.8em; text-align: center; }
img { float: left; margin: 0 2em 2em 0; }
a img { border: 0; }
h1 { margin-top: 1em; font-size: 1.2em; }
.content-text { overflow: hidden; overflow-wrap: break-word; word-wrap: break-word; -webkit-hyphens: auto; -moz-hyphens: auto; -ms-hyphens: auto; hyphens: auto; }
p { margin: 0.7em 0 1em 0; }
a { color: #0645ad; text-decoration: none; }
a:hover { text-decoration: underline; }
code { font-family: sans-serif; }
.text-muted { color: #777; }
</style>
<div class=""content"" role=""main"">
<a href=""https://www.wikimedia.org""><img src=""https://www.wikimedia.org/static/images/wmf-logo.png"" srcset=""https://www.wikimedia.org/static/images/wmf-logo-2x.png 2x"" alt=""Wikimedia"" width=""135"" height=""101"">
</a>
<h1>Error</h1>
<div class=""content-text"">
<p>Our servers are currently under maintenance or experiencing a technical problem.

Please <a href="""" title=""Reload this page"" onclick=""window.location.reload(false); return false"">try again</a> in a few&nbsp;minutes.</p>

<p>See the error message at the bottom of this page for more&nbsp;information.</p>
</div>
</div>
<div class=""footer""><p>If you report this error to the Wikimedia System Administrators, please include the details below.</p><p class=""text-muted""><code>Request from 176.107.176.62 via cp3050 frontend, Varnish XID 601284541<br>Upstream caches: cp3050 int<br>Error: 400,  at Thu, 23 Jan 2020 01:16:21 GMT</code></p>
</div>
</html>
"
ru.wikiquote.org,19,"HTTP/1.1 400 
Date: Thu, 23 Jan 2020 01:16:21 GMT
Server: Varnish
X-Varnish: 609590641
X-Cache: cp3050 int
X-Cache-Status: int-front
Server-Timing: cache;desc=""int-front""
Set-Cookie: WMF-Last-Access=23-Jan-2020;Path=/;HttpOnly;secure;Expires=Mon, 24 Feb 2020 00:00:00 GMT
Set-Cookie: WMF-Last-Access-Global=23-Jan-2020;Path=/;Domain=.invalid;HttpOnly;secure;Expires=Mon, 24 Feb 2020 00:00:00 GMT
X-Client-IP: 176.107.176.62
Content-Type: text/html; charset=utf-8
Content-Length: 1807
Connection: keep-alive

<!DOCTYPE html>
<html lang=""en"">
<meta charset=""utf-8"">
<title>Wikimedia Error</title>
<style>
* { margin: 0; padding: 0; }
body { background: #fff; font: 15px/1.6 sans-serif; color: #333; }
.content { margin: 7% auto 0; padding: 2em 1em 1em; max-width: 640px; }
.footer { clear: both; margin-top: 14%; border-top: 1px solid #e5e5e5; background: #f9f9f9; padding: 2em 0; font-size: 0.8em; text-align: center; }
img { float: left; margin: 0 2em 2em 0; }
a img { border: 0; }
h1 { margin-top: 1em; font-size: 1.2em; }
.content-text { overflow: hidden; overflow-wrap: break-word; word-wrap: break-word; -webkit-hyphens: auto; -moz-hyphens: auto; -ms-hyphens: auto; hyphens: auto; }
p { margin: 0.7em 0 1em 0; }
a { color: #0645ad; text-decoration: none; }
a:hover { text-decoration: underline; }
code { font-family: sans-serif; }
.text-muted { color: #777; }
</style>
<div class=""content"" role=""main"">
<a href=""https://www.wikimedia.org""><img src=""https://www.wikimedia.org/static/images/wmf-logo.png"" srcset=""https://www.wikimedia.org/static/images/wmf-logo-2x.png 2x"" alt=""Wikimedia"" width=""135"" height=""101"">
</a>
<h1>Error</h1>
<div class=""content-text"">
<p>Our servers are currently under maintenance or experiencing a technical problem.

Please <a href="""" title=""Reload this page"" onclick=""window.location.reload(false); return false"">try again</a> in a few&nbsp;minutes.</p>

<p>See the error message at the bottom of this page for more&nbsp;information.</p>
</div>
</div>
<div class=""footer""><p>If you report this error to the Wikimedia System Administrators, please include the details below.</p><p class=""text-muted""><code>Request from 176.107.176.62 via cp3050 frontend, Varnish XID 609590641<br>Upstream caches: cp3050 int<br>Error: 400,  at Thu, 23 Jan 2020 01:16:21 GMT</code></p>
</div>
</html>
"
ru.wikiquote.org,20,"HTTP/1.1 400 
Date: Thu, 23 Jan 2020 01:16:21 GMT
Server: Varnish
X-Varnish: 587065722
X-Cache: cp3050 int
X-Cache-Status: int-front
Server-Timing: cache;desc=""int-front""
Set-Cookie: WMF-Last-Access=23-Jan-2020;Path=/;HttpOnly;secure;Expires=Mon, 24 Feb 2020 00:00:00 GMT
Set-Cookie: WMF-Last-Access-Global=23-Jan-2020;Path=/;Domain=.invalid;HttpOnly;secure;Expires=Mon, 24 Feb 2020 00:00:00 GMT
X-Client-IP: 176.107.176.62
Content-Type: text/html; charset=utf-8
Content-Length: 1807
Connection: keep-alive

<!DOCTYPE html>
<html lang=""en"">
<meta charset=""utf-8"">
<title>Wikimedia Error</title>
<style>
* { margin: 0; padding: 0; }
body { background: #fff; font: 15px/1.6 sans-serif; color: #333; }
.content { margin: 7% auto 0; padding: 2em 1em 1em; max-width: 640px; }
.footer { clear: both; margin-top: 14%; border-top: 1px solid #e5e5e5; background: #f9f9f9; padding: 2em 0; font-size: 0.8em; text-align: center; }
img { float: left; margin: 0 2em 2em 0; }
a img { border: 0; }
h1 { margin-top: 1em; font-size: 1.2em; }
.content-text { overflow: hidden; overflow-wrap: break-word; word-wrap: break-word; -webkit-hyphens: auto; -moz-hyphens: auto; -ms-hyphens: auto; hyphens: auto; }
p { margin: 0.7em 0 1em 0; }
a { color: #0645ad; text-decoration: none; }
a:hover { text-decoration: underline; }
code { font-family: sans-serif; }
.text-muted { color: #777; }
</style>
<div class=""content"" role=""main"">
<a href=""https://www.wikimedia.org""><img src=""https://www.wikimedia.org/static/images/wmf-logo.png"" srcset=""https://www.wikimedia.org/static/images/wmf-logo-2x.png 2x"" alt=""Wikimedia"" width=""135"" height=""101"">
</a>
<h1>Error</h1>
<div class=""content-text"">
<p>Our servers are currently under maintenance or experiencing a technical problem.

Please <a href="""" title=""Reload this page"" onclick=""window.location.reload(false); return false"">try again</a> in a few&nbsp;minutes.</p>

<p>See the error message at the bottom of this page for more&nbsp;information.</p>
</div>
</div>
<div class=""footer""><p>If you report this error to the Wikimedia System Administrators, please include the details below.</p><p class=""text-muted""><code>Request from 176.107.176.62 via cp3050 frontend, Varnish XID 587065722<br>Upstream caches: cp3050 int<br>Error: 400,  at Thu, 23 Jan 2020 01:16:21 GMT</code></p>
</div>
</html>
"
ru.wikiquote.org,21,"HTTP/1.1 400 
Date: Thu, 23 Jan 2020 01:16:21 GMT
Server: Varnish
X-Varnish: 621217173
X-Cache: cp3050 int
X-Cache-Status: int-front
Server-Timing: cache;desc=""int-front""
Set-Cookie: WMF-Last-Access=23-Jan-2020;Path=/;HttpOnly;secure;Expires=Mon, 24 Feb 2020 00:00:00 GMT
Set-Cookie: WMF-Last-Access-Global=23-Jan-2020;Path=/;Domain=.invalid;HttpOnly;secure;Expires=Mon, 24 Feb 2020 00:00:00 GMT
X-Client-IP: 176.107.176.62
Content-Type: text/html; charset=utf-8
Content-Length: 1807
Connection: keep-alive

<!DOCTYPE html>
<html lang=""en"">
<meta charset=""utf-8"">
<title>Wikimedia Error</title>
<style>
* { margin: 0; padding: 0; }
body { background: #fff; font: 15px/1.6 sans-serif; color: #333; }
.content { margin: 7% auto 0; padding: 2em 1em 1em; max-width: 640px; }
.footer { clear: both; margin-top: 14%; border-top: 1px solid #e5e5e5; background: #f9f9f9; padding: 2em 0; font-size: 0.8em; text-align: center; }
img { float: left; margin: 0 2em 2em 0; }
a img { border: 0; }
h1 { margin-top: 1em; font-size: 1.2em; }
.content-text { overflow: hidden; overflow-wrap: break-word; word-wrap: break-word; -webkit-hyphens: auto; -moz-hyphens: auto; -ms-hyphens: auto; hyphens: auto; }
p { margin: 0.7em 0 1em 0; }
a { color: #0645ad; text-decoration: none; }
a:hover { text-decoration: underline; }
code { font-family: sans-serif; }
.text-muted { color: #777; }
</style>
<div class=""content"" role=""main"">
<a href=""https://www.wikimedia.org""><img src=""https://www.wikimedia.org/static/images/wmf-logo.png"" srcset=""https://www.wikimedia.org/static/images/wmf-logo-2x.png 2x"" alt=""Wikimedia"" width=""135"" height=""101"">
</a>
<h1>Error</h1>
<div class=""content-text"">
<p>Our servers are currently under maintenance or experiencing a technical problem.

Please <a href="""" title=""Reload this page"" onclick=""window.location.reload(false); return false"">try again</a> in a few&nbsp;minutes.</p>

<p>See the error message at the bottom of this page for more&nbsp;information.</p>
</div>
</div>
<div class=""footer""><p>If you report this error to the Wikimedia System Administrators, please include the details below.</p><p class=""text-muted""><code>Request from 176.107.176.62 via cp3050 frontend, Varnish XID 621217173<br>Upstream caches: cp3050 int<br>Error: 400,  at Thu, 23 Jan 2020 01:16:21 GMT</code></p>
</div>
</html>
"
ru.wikiquote.org,22,"HTTP/1.1 400 
Date: Thu, 23 Jan 2020 01:16:21 GMT
Server: Varnish
X-Varnish: 604063107
X-Cache: cp3050 int
X-Cache-Status: int-front
Server-Timing: cache;desc=""int-front""
Set-Cookie: WMF-Last-Access=23-Jan-2020;Path=/;HttpOnly;secure;Expires=Mon, 24 Feb 2020 00:00:00 GMT
Set-Cookie: WMF-Last-Access-Global=23-Jan-2020;Path=/;Domain=.invalid;HttpOnly;secure;Expires=Mon, 24 Feb 2020 00:00:00 GMT
X-Client-IP: 176.107.176.62
Content-Type: text/html; charset=utf-8
Content-Length: 1807
Connection: keep-alive

<!DOCTYPE html>
<html lang=""en"">
<meta charset=""utf-8"">
<title>Wikimedia Error</title>
<style>
* { margin: 0; padding: 0; }
body { background: #fff; font: 15px/1.6 sans-serif; color: #333; }
.content { margin: 7% auto 0; padding: 2em 1em 1em; max-width: 640px; }
.footer { clear: both; margin-top: 14%; border-top: 1px solid #e5e5e5; background: #f9f9f9; padding: 2em 0; font-size: 0.8em; text-align: center; }
img { float: left; margin: 0 2em 2em 0; }
a img { border: 0; }
h1 { margin-top: 1em; font-size: 1.2em; }
.content-text { overflow: hidden; overflow-wrap: break-word; word-wrap: break-word; -webkit-hyphens: auto; -moz-hyphens: auto; -ms-hyphens: auto; hyphens: auto; }
p { margin: 0.7em 0 1em 0; }
a { color: #0645ad; text-decoration: none; }
a:hover { text-decoration: underline; }
code { font-family: sans-serif; }
.text-muted { color: #777; }
</style>
<div class=""content"" role=""main"">
<a href=""https://www.wikime"
