URL,TTL,Message
metayogg.at.ua,15,"HTTP/1.1 404 Not Found
Server: nginx/1.8.0
Date: Thu, 23 Jan 2020 01:16:08 GMT
Content-Type: text/html; charset=UTF-8
Transfer-Encoding: chunked
Connection: keep-alive
Keep-Alive: timeout=15

11bc
<!DOCTYPE html>
<html lang=""en"">
	<head>
		<meta charset=""utf-8"">
		<meta http-equiv=""X-UA-Compatible"" content=""IE=edge"">
		<meta name=""viewport"" content=""width=device-width, initial-scale=1, maximum-scale=1"">
		<title>Domain being attached</title>
		<link type=""text/css"" rel=""StyleSheet"" href=""/.serr/css/style.css"">
		<link rel=""shortcut icon"" href=""/.serr/img/favicon.ico"" type=""image/x-icon"">
		<script type=""text/javascript"" src=""https://ajax.googleapis.com/ajax/libs/jquery/1.10.2/jquery.min.js""></script>
		<script type=""text/javascript"" src=""/.serr/js/core.js""></script>
	</head>
	<body>
		<div id=""wrap"">
			<div id=""ulogo"">
				<a href=""https://www.ucoz.com"" class=""ulogo"" title=""uCoz"" target=""_blank"">uCoz</a>
				<span class=""error-title nofoundes"">domain attachment</span>
			</div>
			<div id=""ulogo-line""></div>
			<div id=""uerror"" class=""domain"">
				<p id=""uerror-link"">DOMAIN IS IN THE PROCESS OF BEING ATTACHED!</p>
				<p id=""error-descr"">If you have just attached the domain to the website, wait 15 minutes.</p>
			</div>
			<div id=""uerror-foot"" class=""domain"">
				If you are the owner of the website and you can still see this error,<br/>
				it means the domain attachment process hasn't been finished.<br/>
				You need to finish it in the <a href=""/panel/?a=transfer"">""Domain Attachment""</a> section of Control Panel.
			</div>
			<div id=""ufooter"" class=""blue"">
				<div class=""foot-col first"">
					<h3>About uCoz web-service</h3>
					<ul>
						<li><a target=""_blank"" href=""https://www.ucoz.com/tour/"" target=""_blank"">About</a></li>
						<li><a class=""ggrp2"" href=""https://www.ucoz.com/team/"" target=""_blank"">Our Team</a></li>
						<li><a class=""ggrp2"" href=""https://www.ucoz.com/pricing/"" target=""_blank"">Pricing</a></li>
						<li><a class=""ggrp1"" href=""https://top.ucoz.com/"" target=""_blank"">Top Sites</a></li>
					</ul>
				</div>
				<div class=""foot-col"">
					<h3>Community</h3>
					<ul>
						<li><a href=""javascript://"" class=""ggrp4"" onclick=""window.open('ht'+'tp://forum.ucoz.com/');return false;"" rel=""nofollow"">Forum</a></li>
						<li><a href=""javascript://"" class=""ggrp4"" onclick=""window.open('ht'+'tp://www.facebook.com/ucoz.web.builder');return false;"" rel=""nofollow"">Facebook</a></li>
						<li><a href=""javascript://"" class=""ggrp4"" onclick=""window.open('ht'+'tp://twitter.com/ucoz_en');return false;"" rel=""nofollow"">Twitter</a></li>
					</ul>
				</div>
				<div class=""foot-col"">
					<h3>Contacts</h3>
					<ul>
						<li><a href=""javascript://"" class=""ggrp4"" onclick=""window.open('ht'+'tp://www.ucoz.com/contact/');return false;"">Contact Us</a></li>
						<li><a href=""javascript://"" class=""ggrp4"" onclick=""window.open('ht'+'tp://www.ucoz.com/abuse/');return false;"">Abuse Report</a></li>
						<li><a class=""ggrp2"" href=""https://www.ucoz.com/partners/"" target=""_blank"">Partners</a></li>
					</ul>
				</div>
				<div class=""foot-col las"
metayogg.at.ua,16,"HTTP/1.1 404 Not Found
Server: nginx/1.8.0
Date: Thu, 23 Jan 2020 01:16:08 GMT
Content-Type: text/html; charset=UTF-8
Transfer-Encoding: chunked
Connection: keep-alive
Keep-Alive: timeout=15

11bc
"
metayogg.at.ua,17,"HTTP/1.1 404 Not Found
Server: nginx/1.8.0
Date: Thu, 23 Jan 2020 01:16:08 GMT
Content-Type: text/html; charset=UTF-8
Transfer-Encoding: chunked
Connection: keep-alive
Keep-Alive: timeout=15

11bc
<!DOCTYPE html>
<html lang=""en"">
	<head>
		<meta charset=""utf-8"">
		<meta http-equiv=""X-UA-Compatible"" content=""IE=edge"">
		<meta name=""viewport"" content=""width=device-width, initial-scale=1, maximum-scale=1"">
		<title>Domain being attached</title>
		<link type=""text/css"" rel=""StyleSheet"" href=""/.serr/css/style.css"">
		<link rel=""shortcut icon"" href=""/.serr/img/favicon.ico"" type=""image/x-icon"">
		<script type=""text/javascript"" src=""https://ajax.googleapis.com/ajax/libs/jquery/1.10.2/jquery.min.js""></script>
		<script type=""text/javascript"" src=""/.serr/js/core.js""></script>
	</head>
	<body>
		<div id=""wrap"">
			<div id=""ulogo"">
				<a href=""https://www.ucoz.com"" class=""ulogo"" title=""uCoz"" target=""_blank"">uCoz</a>
				<span class=""error-title nofoundes"">domain attachment</span>
			</div>
			<div id=""ulogo-line""></div>
			<div id=""uerror"" class=""domain"">
				<p id=""uerror-link"">DOMAIN IS IN THE PROCESS OF BEING ATTACHED!</p>
				<p id=""error-descr"">If you have just attached the domain to the website, wait 15 minutes.</p>
			</div>
			<div id=""uerror-foot"" class=""domain"">
				If you are the owner of the website and you can still see this error,<br/>
				it means the domain attachment process hasn't been finished.<br/>
				You need to finish it in the <a href=""/panel/?a=transfer"">""Domain Attachment""</a> section of Control Panel.
			</div>
			<div id=""ufooter"" class=""blue"">
				<div class=""foot-col first"">
					<h3>About uCoz web-service</h3>
					<ul>
						<li><a target=""_blank"" href=""https://www.ucoz.com/tour/"" target=""_blank"">About</a></li>
						<li><a class=""ggrp2"" href=""https://www.ucoz.com/team/"" target=""_blank"">Our Team</a></li>
						<li><a class=""ggrp2"" href=""https://www.ucoz.com/pricing/"" target=""_blank"">Pricing</a></li>
						<li><a class=""ggrp1"" href=""https://top.ucoz.com/"" target=""_blank"">Top Sites</a></li>
					</ul>
				</div>
				<div class=""foot-col"">
					<h3>Community</h3>
					<ul>
						<li><a href=""javascript://"" class=""ggrp4"" onclick=""window.open('ht'+'tp://forum.ucoz.com/');return false;"" rel=""nofollow"">Forum</a></li>
						<li><a href=""javascript://"" class=""ggrp4"" onclick=""window.open('ht'+'tp://www.facebook.com/ucoz.web.builder');return false;"" rel=""nofollow"">Facebook</a></li>
						<li><a href=""javascript://"" class=""ggrp4"" onclick=""window.open('ht'+'tp://twitter.com/ucoz_en');return false;"" rel=""nofollow"">Twitter</a></li>
					</ul>
				</div>
				<div class=""foot-col"">
					<h3>Contacts</h3>
					<ul>
						<li><a href=""javascript://"" class=""ggrp4"" onclick=""window.open('ht'+'tp://www.ucoz.com/contact/');return false;"">Contact Us</a></li>
						<li><a href=""javascript://"" class=""ggrp4"" onclick=""window.open('ht'+'tp://www.ucoz.com/abuse/');return false;"">Abuse Report</a></li>
						<li><a class=""ggrp2"" href=""https://www.ucoz.com/partners/"" target=""_blank"">Partners</a></li>
					</ul>
				</div>
				<div class=""foot-col las"
metayogg.at.ua,18,"HTTP/1.1 404 Not Found
Server: nginx/1.8.0
Date: Thu, 23 Jan 2020 01:16:08 GMT
Content-Type: text/html; charset=UTF-8
Transfer-Encoding: chunked
Connection: keep-alive
Keep-Alive: timeout=15

11bc
"
metayogg.at.ua,19,"HTTP/1.1 404 Not Found
Server: nginx/1.8.0
Date: Thu, 23 Jan 2020 01:16:08 GMT
Content-Type: text/html; charset=UTF-8
Transfer-Encoding: chunked
Connection: keep-alive
Keep-Alive: timeout=15

11bc
"
metayogg.at.ua,20,"HTTP/1.1 404 Not Found
Server: nginx/1.8.0
Date: Thu, 23 Jan 2020 01:16:08 GMT
Content-Type: text/html; charset=UTF-8
Transfer-Encoding: chunked
Connection: keep-alive
Keep-Alive: timeout=15

11bc
"
metayogg.at.ua,21,"HTTP/1.1 404 Not Found
Server: nginx/1.8.0
Date: Thu, 23 Jan 2020 01:16:08 GMT
Content-Type: text/html; charset=UTF-8
Transfer-Encoding: chunked
Connection: keep-alive
Keep-Alive: timeout=15

11bc
<!DOCTYPE html>
<html lang=""en"">
	<head>
		<meta charset=""utf-8"">
		<meta http-equiv=""X-UA-Compatible"" content=""IE=edge"">
		<meta name=""viewport"" content=""width=device-width, initial-scale=1, maximum-scale=1"">
		<title>Domain being attached</title>
		<link type=""text/css"" rel=""StyleSheet"" href=""/.serr/css/style.css"">
		<link rel=""shortcut icon"" href=""/.serr/img/favicon.ico"" type=""image/x-icon"">
		<script type=""text/javascript"" src=""https://ajax.googleapis.com/ajax/libs/jquery/1.10.2/jquery.min.js""></script>
		<script type=""text/javascript"" src=""/.serr/js/core.js""></script>
	</head>
	<body>
		<div id=""wrap"">
			<div id=""ulogo"">
				<a href=""https://www.ucoz.com"" class=""ulogo"" title=""uCoz"" target=""_blank"">uCoz</a>
				<span class=""error-title nofoundes"">domain attachment</span>
			</div>
			<div id=""ulogo-line""></div>
			<div id=""uerror"" class=""domain"">
				<p id=""uerror-link"">DOMAIN IS IN THE PROCESS OF BEING ATTACHED!</p>
				<p id=""error-descr"">If you have just attached the domain to the website, wait 15 minutes.</p>
			</div>
			<div id=""uerror-foot"" class=""domain"">
				If you are the owner of the website and you can still see this error,<br/>
				it means the domain attachment process hasn't been finished.<br/>
				You need to finish it in the <a href=""/panel/?a=transfer"">""Domain Attachment""</a> section of Control Panel.
			</div>
			<div id=""ufooter"" class=""blue"">
				<div class=""foot-col first"">
					<h3>About uCoz web-service</h3>
					<ul>
						<li><a target=""_blank"" href=""https://www.ucoz.com/tour/"" target=""_blank"">About</a></li>
						<li><a class=""ggrp2"" href=""https://www.ucoz.com/team/"" target=""_blank"">Our Team</a></li>
						<li><a class=""ggrp2"" href=""https://www.ucoz.com/pricing/"" target=""_blank"">Pricing</a></li>
						<li><a class=""ggrp1"" href=""https://top.ucoz.com/"" target=""_blank"">Top Sites</a></li>
					</ul>
				</div>
				<div class=""foot-col"">
					<h3>Community</h3>
					<ul>
						<li><a href=""javascript://"" class=""ggrp4"" onclick=""window.open('ht'+'tp://forum.ucoz.com/');return false;"" rel=""nofollow"">Forum</a></li>
						<li><a href=""javascript://"" class=""ggrp4"" onclick=""window.open('ht'+'tp://www.facebook.com/ucoz.web.builder');return false;"" rel=""nofollow"">Facebook</a></li>
						<li><a href=""javascript://"" class=""ggrp4"" onclick=""window.open('ht'+'tp://twitter.com/ucoz_en');return false;"" rel=""nofollow"">Twitter</a></li>
					</ul>
				</div>
				<div class=""foot-col"">
					<h3>Contacts</h3>
					<ul>
						<li><a href=""javascript://"" class=""ggrp4"" onclick=""window.open('ht'+'tp://www.ucoz.com/contact/');return false;"">Contact Us</a></li>
						<li><a href=""javascript://"" class=""ggrp4"" onclick=""window.open('ht'+'tp://www.ucoz.com/abuse/');return false;"">Abuse Report</a></li>
						<li><a class=""ggrp2"" href=""https://www.ucoz.com/partners/"" target=""_blank"">Partners</a></li>
					</ul>
				</div>
				<div class=""foot-col las"
metayogg.at.ua,22,"HTTP/1.1 404 Not Found
Server: nginx/1.8.0
Date: Thu, 23 Jan 2020 01:16:08 GMT
Content-Type: text/html; charset=UTF-8
Transfer-Encoding: chunked
Connection: keep-alive
Keep-Alive: timeout=15

11bc
"
metayogg.at.ua,23,"HTTP/1.1 404 Not Found
Server: nginx/1.8.0
Date: Thu, 23 Jan 2020 01:16:08 GMT
Content-Type: text/html; charset=UTF-8
Transfer-Encoding: chunked
Connection: keep-alive
Keep-Alive: timeout=15

11bc
<!DOCTYPE html>
<html lang=""en"">
	<head>
		<meta charset=""utf-8"">
		<meta http-equiv=""X-UA-Compatible"" content=""IE=edge"">
		<meta name=""viewport"" content=""width=device-width, initial-scale=1, maximum-scale=1"">
		<title>Domain being attached</title>
		<link type=""text/css"" rel=""StyleSheet"" href=""/.serr/css/style.css"">
		<link rel=""shortcut icon"" href=""/.serr/img/favicon.ico"" type=""image/x-icon"">
		<script type=""text/javascript"" src=""https://ajax.googleapis.com/ajax/libs/jquery/1.10.2/jquery.min.js""></script>
		<script type=""text/javascript"" src=""/.serr/js/core.js""></script>
	</head>
	<body>
		<div id=""wrap"">
			<div id=""ulogo"">
				<a href=""https://www.ucoz.com"" class=""ulogo"" title=""uCoz"" target=""_blank"">uCoz</a>
				<span class=""error-title nofoundes"">domain attachment</span>
			</div>
			<div id=""ulogo-line""></div>
			<div id=""uerror"" class=""domain"">
				<p id=""uerror-link"">DOMAIN IS IN THE PROCESS OF BEING ATTACHED!</p>
				<p id=""error-descr"">If you have just attached the domain to the website, wait 15 minutes.</p>
			</div>
			<div id=""uerror-foot"" class=""domain"">
				If you are the owner of the website and you can still see this error,<br/>
				it means the domain attachment process hasn't been finished.<br/>
				You need to finish it in the <a href=""/panel/?a=transfer"">""Domain Attachment""</a> section of Control Panel.
			</div>
			<div id=""ufooter"" class=""blue"">
				<div class=""foot-col first"">
					<h3>About uCoz web-"
metayogg.at.ua,24,"HTTP/1.1 404 Not Found
Server: nginx/1.8.0
Date: Thu, 23 Jan 2020 01:16:08 GMT
Content-Type: text/html; charset=UTF-8
Transfer-Encoding: chunked
Connection: keep-alive
Keep-Alive: timeout=15

11bc
"
metayogg.at.ua,25,"HTTP/1.1 404 Not Found
Server: nginx/1.8.0
Date: Thu, 23 Jan 2020 01:16:08 GMT
Content-Type: text/html; charset=UTF-8
Transfer-Encoding: chunked
Connection: keep-alive
Keep-Alive: timeout=15

11bc
"
metayogg.at.ua,26,"HTTP/1.1 404 Not Found
Server: nginx/1.8.0
Date: Thu, 23 Jan 2020 01:16:08 GMT
Content-Type: text/html; charset=UTF-8
Transfer-Encoding: chunked
Connection: keep-alive
Keep-Alive: timeout=15

11bc
<!DOCTYPE html>
<html lang=""en"">
	<head>
		<meta charset=""utf-8"">
		<meta http-equiv=""X-UA-Compatible"" content=""IE=edge"">
		<meta name=""viewport"" content=""width=device-width, initial-scale=1, maximum-scale=1"">
		<title>Domain being attached</title>
		<link type=""text/css"" rel=""StyleSheet"" href=""/.serr/css/style.css"">
		<link rel=""shortcut icon"" href=""/.serr/img/favicon.ico"" type=""image/x-icon"">
		<script type=""text/javascript"" src=""https://ajax.googleapis.com/ajax/libs/jquery/1.10.2/jquery.min.js""></script>
		<script type=""text/javascript"" src=""/.serr/js/core.js""></script>
	</head>
	<body>
		<div id=""wrap"">
			<div id=""ulogo"">
				<a href=""https://www.ucoz.com"" class=""ulogo"" title=""uCoz"" target=""_blank"">uCoz</a>
				<span class=""error-title nofoundes"">domain attachment</span>
			</div>
			<div id=""ulogo-line""></div>
			<div id=""uerror"" class=""domain"">
				<p id=""uerror-link"">DOMAIN IS IN THE PROCESS OF BEING ATTACHED!</p>
				<p id=""error-descr"">If you have just attached the domain to the website, wait 15 minutes.</p>
			</div>
			<div id=""uerror-foot"" class=""domain"">
				If you are the owner of the website and you can still see this error,<br/>
				it means the domain attachment process hasn't been finished.<br/>
				You need to finish it in the <a href=""/panel/?a=transfer"">""Domain Attachment""</a> section of Control Panel.
			</div>
			<div id=""ufooter"" class=""blue"">
				<div class=""foot-col first"">
					<h3>About uCoz web-service</h3>
					<ul>
						<li><a target=""_blank"" href=""https://www.ucoz.com/tour/"" target=""_blank"">About</a></li>
						<li><a class=""ggrp2"" href=""https://www.ucoz.com/team/"" target=""_blank"">Our Team</a></li>
						<li><a class=""ggrp2"" href=""https://www.ucoz.com/pricing/"" target=""_blank"">Pricing</a></li>
						<li><a class=""ggrp1"" href=""https://top.ucoz.com/"" target=""_blank"">Top Sites</a></li>
					</ul>
				</div>
				<div class=""foot-col"">
					<h3>Community</h3>
					<ul>
						<li><a href=""javascript://"" class=""ggrp4"" onclick=""window.open('ht'+'tp://forum.ucoz.com/');return false;"" rel=""nofollow"">Forum</a></li>
						<li><a href=""javascript://"" class=""ggrp4"" onclick=""window.open('ht'+'tp://www.facebook.com/ucoz.web.builder');return false;"" rel=""nofollow"">Facebook</a></li>
						<li><a href=""javascript://"" class=""ggrp4"" onclick=""window.open('ht'+'tp://twitter.com/ucoz_en');return false;"" rel=""nofollow"">Twitter</a></li>
					</ul>
				</div>
				<div class=""foot-col"">
					<h3>Contacts</h3>
					<ul>
						<li><a href=""javascript://"" class=""ggrp4"" onclick=""window.open('ht'+'tp://www.ucoz.com/contact/');return false;"">Contact Us</a></li>
						<li><a href=""javascript://"" class=""ggrp4"" onclick=""window.open('ht'+'tp://www.ucoz.com/abuse/');return false;"">Abuse Report</a></li>
						<li><a class=""ggrp2"" href=""https://www.ucoz.com/partners/"" target=""_blank"">Partners</a></li>
					</ul>
				</div>
				<div class=""foot-col las"
metayogg.at.ua,27,"HTTP/1.1 404 Not Found
Server: nginx/1.8.0
Date: Thu, 23 Jan 2020 01:16:08 GMT
Content-Type: text/html; charset=UTF-8
Transfer-Encoding: chunked
Connection: keep-alive
Keep-Alive: timeout=15

11bc
"
metayogg.at.ua,28,"HTTP/1.1 404 Not Found
Server: nginx/1.8.0
Date: Thu, 23 Jan 2020 01:16:09 GMT
Content-Type: text/html; charset=UTF-8
Transfer-Encoding: chunked
Connection: keep-alive
Keep-Alive: timeout=15

11bc
<!DOCTYPE html>
<html lang=""en"">
	<head>
		<meta charset=""utf-8"">
		<meta http-equiv=""X-UA-Compatible"" content=""IE=edge"">
		<meta name=""viewport"" content=""width=device-width, initial-scale=1, maximum-scale=1"">
		<title>Domain being attached</title>
		<link type=""text/css"" rel=""StyleSheet"" href=""/.serr/css/style.css"">
		<link rel=""shortcut icon"" href=""/.serr/img/favicon.ico"" type=""image/x-icon"">
		<script type=""text/javascript"" src=""https://ajax.googleapis.com/ajax/libs/jquery/1.10.2/jquery.min.js""></script>
		<script type=""text/javascript"" src=""/.serr/js/core.js""></script>
	</head>
	<body>
		<div id=""wrap"">
			<div id=""ulogo"">
				<a href=""https://www.ucoz.com"" class=""ulogo"" title=""uCoz"" target=""_blank"">uCoz</a>
				<span class=""error-title nofoundes"">domain attachment</span>
			</div>
			<div id=""ulogo-line""></div>
			<div id=""uerror"" class=""domain"">
				<p id=""uerror-link"">DOMAIN IS IN THE PROCESS OF BEING ATTACHED!</p>
				<p id=""error-descr"">If you have just attached the domain to the website, wait 15 minutes.</p>
			</div>
			<div id=""uerror-foot"" class=""domain"">
				If you are the owner of the website and you can still see this error,<br/>
				it means the domain attachment process hasn't been finished.<br/>
				You need to finish it in the <a href=""/panel/?a=transfer"">""Domain Attachment""</a> section of Control Panel.
			</div>
			<div id=""ufooter"" class=""blue"">
				<div class=""foot-col first"">
					<h3>About uCoz web-"
metayogg.at.ua,29,"HTTP/1.1 404 Not Found
Server: nginx/1.8.0
Date: Thu, 23 Jan 2020 01:16:09 GMT
Content-Type: text/html; charset=UTF-8
Transfer-Encoding: chunked
Connection: keep-alive
Keep-Alive: timeout=15

11bc
"
